City,City (ascii),Lat,Long,Country,ISO2,ISO3,State,State Abbreviation,Capital,Primary Capital,Admin Capital,Minor Capital,Population
Malishevë,Malisheve,42.4822,20.7458,Kosovo,XK,XKS,Malishevë,,admin,,TRUE,,
Prizren,Prizren,42.2139,20.7397,Kosovo,XK,XKS,Prizren,,admin,,TRUE,,
Zubin Potok,Zubin Potok,42.9144,20.6897,Kosovo,XK,XKS,Zubin Potok,,admin,,TRUE,,
Kamenicë,Kamenice,42.5781,21.5803,Kosovo,XK,XKS,Kamenicë,,admin,,TRUE,,
Viti,Viti,42.3214,21.3583,Kosovo,XK,XKS,Viti,,admin,,TRUE,,
Shtërpcë,Shterpce,42.2394,21.0272,Kosovo,XK,XKS,Shtërpcë,,admin,,TRUE,,
Shtime,Shtime,42.4331,21.0397,Kosovo,XK,XKS,Shtime,,admin,,TRUE,,
Vushtrri,Vushtrri,42.8231,20.9675,Kosovo,XK,XKS,Vushtrri,,admin,,TRUE,,
Dragash,Dragash,42.0265,20.6533,Kosovo,XK,XKS,Dragash,,admin,,TRUE,,
Podujevë,Podujeve,42.9111,21.1899,Kosovo,XK,XKS,Podujevë,,admin,,TRUE,,
Fushë Kosovë,Fushe Kosove,42.6639,21.0961,Kosovo,XK,XKS,Fushë Kosovë,,admin,,TRUE,,
Kaçanik,Kacanik,42.2319,21.2594,Kosovo,XK,XKS,Kaçanik,,admin,,TRUE,,
Klinë,Kline,42.6217,20.5778,Kosovo,XK,XKS,Klinë,,admin,,TRUE,,
Leposaviq,Leposaviq,43.1039,20.8028,Kosovo,XK,XKS,Leposaviq,,admin,,TRUE,,
Pejë,Peje,42.66,20.2922,Kosovo,XK,XKS,Pejë,,admin,,TRUE,,
Rahovec,Rahovec,42.3994,20.6547,Kosovo,XK,XKS,Rahovec,,admin,,TRUE,,
Gjilan,Gjilan,42.4689,21.4633,Kosovo,XK,XKS,Gjilan,,admin,,TRUE,,
Lipjan,Lipjan,42.5217,21.1258,Kosovo,XK,XKS,Lipjan,,admin,,TRUE,,
Obiliq,Obiliq,42.6869,21.0703,Kosovo,XK,XKS,Obiliq,,admin,,TRUE,,
Gjakovë,Gjakove,42.3803,20.4308,Kosovo,XK,XKS,Gjakovë,,admin,,TRUE,,
Pristina,Pristina,42.6666,21.1724,Kosovo,XK,XKS,Prishtinë,,primary,TRUE,,,
Deçan,Decan,42.5378,20.2911,Kosovo,XK,XKS,Deçan,,admin,,TRUE,,
Istog,Istog,42.7808,20.4875,Kosovo,XK,XKS,Istog,,admin,,TRUE,,
